Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_Type,Tot_Benes,Tot_Mdcr_Pymt_Amt,zipcode,county
1831109792,Dreisbach,Luke,CA,92270,Hematology-Oncology,1538,13616748.77,92270,Riverside
1598260986,"H&m Molecular Diagnostics, Llc",,CA,92121,Clinical Laboratory,49693,13323740.68,92121,San Diego
1992821797,Lee,Catherine,CA,92625,Dermatology,587,12611127.64,92625,Orange
1548713050,Profusion Llc,,CA,92111,Pharmacy,14,12428890.64,92111,San Diego
1073272613,West Coast Medical Labs Inc,,CA,95336,Clinical Laboratory,10935,12247001.15,95336,San Joaquin
1184886178,Taheri,Merry,CA,90502,Nurse Practitioner,127946,12150403.49,90502,Los Angeles
1154811917,Gmi Laboratories Llc,,CA,91607,Clinical Laboratory,2675,11860046.04,91607,Los Angeles
1386627966,Orthopaedic Hospital,,CA,90007,Pharmacy,28,11566652.46,90007,Los Angeles
1386905016,Falck Northern California Corp.,,CA,94545,Ambulance Service Provider,11841,11289939.39,94545,Alameda
1598767501,Kwph Enterprises Inc,,CA,93721,Ambulance Service Provider,12340,11059911.2,93721,Fresno
1326280371,Rovelo,Millicent,CA,90210,Plastic and Reconstructive Surgery,379,10858493.96,90210,Los Angeles
1902585680,Biox Labs Inc,,CA,90501,Clinical Laboratory,16531,10560268.8,90501,Los Angeles
1962489237,"Esoterix, Inc",,CA,91301,Clinical Laboratory,36775,10282577.57,91301,Los Angeles
1821253584,Agendia Inc,,CA,92618,Clinical Laboratory,2617,10230939.0,92618,Orange
1508529561,Heying,Brooke,CA,91730,Physician Assistant,97,9678341.86,91730,San Bernardino
1194833939,"American Medical Response Ambulance Service, Inc.",,CA,92123,Ambulance Service Provider,13295,9612244.34,92123,San Diego
1417927054,Rao,Ravi,CA,93720,Hematology-Oncology,1342,9574783.48,93720,Fresno
1730273582,Regents Of The University Of California,,CA,92123,Pharmacy,27,9528654.65,92123,San Diego
1720279805,Scripps Health,,CA,92121,Clinical Laboratory,54892,8950120.96,92121,San Diego
1225185465,Paley,Harvey,CA,90210,Otolaryngology,29508,8893633.76,90210,Los Angeles
1679959845,Mailyan,Violetta,CA,91205,Family Practice,1549,8751467.6,91205,Los Angeles
1902025398,"Premier Medical Transport, Inc.",,CA,92821,Ambulance Service Provider,16560,8590210.84,92821,Orange
1871731729,Regents Of The University Of,,CA,91402,Clinical Laboratory,52841,8561969.82,91402,Los Angeles
1063831642,Schachter,Oran,CA,91403,Podiatry,417,8232285.87,91403,Los Angeles
1518075449,American Medical Response Of Inland Empire,,CA,91730,Ambulance Service Provider,9465,8198554.76,91730,San Bernardino
1578597886,"American Medical Response Ambulance Service, Inc.",,CA,92507,Ambulance Service Provider,9589,7873401.95,92507,Riverside
1225554843,Global Diagnostic Lab Inc,,CA,91107,Clinical Laboratory,3274,7843293.16,91107,Los Angeles
1902994551,Villalvazo,Humberto,CA,93662,Family Practice,203,7701353.07,93662,Fresno
1013032713,Estrada,Dexter,CA,93720,Hematology-Oncology,1292,7692273.07,93720,Fresno
1144539644,Moshfegh,Amiel,CA,90040,Interventional Radiology,1105,7626458.35,90040,Los Angeles
1730384876,Patel,Sarju,CA,95819,Ophthalmology,2022,7585837.33,95819,Sacramento
1144343005,Gupta,Sachin,CA,93720,Hematology-Oncology,1014,7439279.2,93720,Fresno
1598173502,"Derm - Jes Holdings, Llc",,CA,92130,Clinical Laboratory,7519,7437540.38,92130,San Diego
1114926433,Shaoulian,Natan,CA,90210,Neurology,250,7356310.14,90210,Los Angeles
1396433231,Pacific Medical Labs,,CA,90501,Clinical Laboratory,43612,7313029.27,90501,Los Angeles
1861748154,Bai,Nicholas,CA,92120,Physician Assistant,597,7234922.49,92120,San Diego
1073268322,Star Medical Laboratory Inc,,CA,91352,Clinical Laboratory,4589,7012100.44,91352,Los Angeles
1902544240,Okoro,Chibuikem,CA,92591,Physician Assistant,136,6940230.65,92591,Riverside
1326087917,Hager,Steven,CA,93720,Hematology-Oncology,1219,6914711.56,93720,Fresno
1841479573,"Advanced Bionics, Llc.",,CA,91355,Pharmacy,1963,6894282.0,91355,Los Angeles
1043410871,Feramisco,Jamison,CA,92119,Dermatology,3020,6882789.76,92119,San Diego
1689671034,Sehgal,Kishore,CA,92543,Hematology-Oncology,972,6711126.22,92543,Riverside
1174538748,"Specialty Surgical Center, Llc",,CA,90211,Ambulatory Surgical Center,2942,6632234.75,90211,Los Angeles
1972558203,Singha,Malwinder,CA,91730,Interventional Radiology,334,6484715.71,91730,San Bernardino
1376600965,City & County Of San Francisco,,CA,94107,Ambulance Service Provider,7273,6478369.77,94107,San Francisco
1205098696,Tran,Mark,CA,92625,Dermatology,533,6465147.09,92625,Orange
1730418849,London,Nikolas,CA,92130,Ophthalmology,1585,6464595.91,92130,San Diego
1982360004,Empower Genomics Corp,,CA,92025,Clinical Laboratory,41171,6450887.85,92025,San Diego
1558340034,Khorsandi,Mehran,CA,90048,Cardiology,1941,6321142.93,90048,Los Angeles
1861452054,Law,Amy,CA,92270,Hematology-Oncology,1329,6307093.23,92270,Riverside
1053453951,Westmed Ambulance Inc,,CA,90220,Ambulance Service Provider,9114,6284749.88,90220,Los Angeles
1134147150,American Medical Response West,,CA,95204,Ambulance Service Provider,6748,6253957.59,95204,San Joaquin
1619367679,Birdrock,,CA,92126,Clinical Laboratory,6638,6237838.57,92126,San Diego
1174664783,Polosajian,Leo,CA,91335,Cardiology,1539,6227112.39,91335,Los Angeles
1407897093,Haseeb,Abdul,CA,93720,Hematology-Oncology,1299,6200183.2,93720,Fresno
1558368605,Mendoza,Evelyn,CA,92543,Hematology-Oncology,941,6192836.84,92543,Riverside
1023786233,Shoreline Diagnostics Llc,,CA,92618,Clinical Laboratory,5802,6168710.13,92618,Orange
1124316138,"Path Md, Inc.",,CA,90048,Clinical Laboratory,7770,6106538.59,90048,Los Angeles
1811218316,Medina Mendez,Carlos,CA,95819,Ophthalmology,1861,6091440.03,95819,Sacramento
1245275106,Biocorp Clinical Lab Inc,,CA,90605,Clinical Laboratory,23526,6089827.72,90605,Los Angeles
1538686597,Genentox Laboratories Llc,,CA,92705,Clinical Laboratory,3135,6068979.85,92705,Orange
1093136418,National Labs Inc,,CA,94545,Clinical Laboratory,9939,6034217.66,94545,Alameda
1164484572,Fort Sutter Surgery Center A California Limited Partnership,,CA,95816,Ambulatory Surgical Center,2421,5910293.72,95816,Sacramento
1396907119,Lala,Moinakhtar,CA,91335,Interventional Cardiology,1620,5909081.08,91335,Los Angeles
1710912175,Ucar,Kalust,CA,91204,Hematology-Oncology,1172,5859952.38,91204,Los Angeles
1154627776,Mittal,Manisha,CA,93720,Rheumatology,281,5810136.77,93720,Fresno
1043216682,Primex Clinical Laboratories Inc.,,CA,91406,Clinical Laboratory,33152,5808928.53,91406,Los Angeles
1316681802,Protasovitskaya,Nadezhda,CA,90292,Nurse Practitioner,93,5682578.18,90292,Los Angeles
1669466868,Hackett,Leonard,CA,93720,Hematology,1194,5646577.4,93720,Fresno
